"Sygnatura czasowa","Twoja obecna rola","Doświadczenie w obecnej roli","Wielkość działu wytwarzającego oprogramowanie w firmie, w której obecnie pracujesz. Alternatywnie: typowy rozmiar firmy, z którą zwykle współpracujesz. ","Czy oprogramowanie jest głównym produktem firmy, czy raczej wspiera działanie firmy?","Jak często korzystasz z narzędzi AI w pracy (chatboty, agenci, integracje w istniejących narzędziach, etc.)","Z jakich narzędzi korzystasz najczęściej?","Jak oceniasz zmianę efektywności swojej pracy związaną z korzystaniem z narzędzi AI?","W jakim stopniu twoja firma (lub klienci) inwestują w narzędzia AI?","Jaki jest stosunek ludzi w firmie (w twoim otoczeniu) do narzędzi AI?","(opcjonalnie) Zostaw dowolny komentarz dotyczący efektywności narzędzi AI ","Pracujesz obecnie?","Jak pewnie czujesz się w obecnej roli w obecnej firmie?","Co jest głównym źródłem niepewności? ","Jak blisko są narzędzia AI do tego, aby Cię zastąpić?","Jakie działania rozważasz jeśli chodzi o swoją przyszłość?","Które działania będą dla Ciebie najważniejsze?","Jeśli planujesz rozwój umiejętności, to jakich?","Jak wygląda według Ciebie przyszłość ról projektowych?"
"2026/03/09 12:08:30 PM EET","Agile Coach/Agile Consultant","10+ lat","150-500 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Raz na kilka dni","ChatGPT, facylitator w Teamsach do notatek i agendy","3","4","4","","Tak. Ekwiwalent pełnego etatu","4","Obecnie jest wiele osób w rolach wspierających, projektowych w dziale. Delivery leads, Product Managers, kilku Agile Coachów. Czuję, że może być nas za dużo. Póki co jednak, wygląda na to, że management widzi wartość w naszej pracy z celami, wspieraniem zespołów w transparencji pracy, szkoleniami i mentoringiem.","2","Otworzenie własnego biznesu (lub stworzenie produktu);Inwestycja w narzędzia (w tym w AI);Wcześniejsza emerytura (FIRE)","Obecnie tworzenie własnych narzędzi (wraz z grupą znajomych), wsparcie się narzędziami AI oraz inwestycje finansowe.","Marketing, sprzedaż produktu, badanie potrzeb i sprawdzanie market fit. Umiejętności związane z prowadzeniem startupu.","Zostaną ci, którzy mają wsparcie AI lub swój własny biznes. W przyszłości być może zostaniemy zastąpieni w większym stopniu przez agentów AI."
"2026/03/09 3:51:44 PM EET","Scrum Master","1-3 lata","150-500 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Rzadziej niż raz w tygodniu","Chat GPT","4","5","5","","Tak. Ekwiwalent pełnego etatu","3","Szybkie tempo zmian","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku)","Elastyczność i dostosowanie do zmian","agenci AI","Nie będą potrzebne, albo w jakimś małym stopniu jako eksperci do nauki agentów"
"2026/03/10 9:27:52 AM EET","Scrum Master","5-10 lat","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Rzadziej niż raz w tygodniu","ChatGPT, copilot ","2","3","3","","Tak. Ekwiwalent pełnego etatu","5","Jestem Scrum masterka na 50%, druga połowa to praca konsultanta wdrożeniowego systemy ERP ","1","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja","Ciągłe podnoszenie kwalifikacji","Coaching, techniczne umiejętności ","Nadal będą potrzebne "
"2026/03/10 9:31:07 AM EET","Scrum Master","5-10 lat","150-500 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Raz na kilka dni","Chat gpt, wewnętrzny chat ","4","4","5","","Tak. Ekwiwalent pełnego etatu","5","Robię dobrą robotę ","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Inwestycja w narzędzia (w tym w AI)","-","","-"
"2026/03/10 9:43:49 AM EET","Technical Product Owner / Lead zespołu testerskiego","1-3 lata","500+","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Rzadziej niż raz w tygodniu","Jedyne, do jakiego mam obecnie dostęp to GitHub Copilot, ale już nie programuję tyle co kiedyś, więc używam go mało ","3","4","4","Trudno mi odpowiedzieć na poprzednie 3 pytania, narzędzie do którego mam dostęp właściwie ma zerowy wpływ na moją obecną pracę, a nawet jeśli dostanę dostęp do większej liczby narzędzi to nie widzę, żeby dramatycznie miały zmienić to co robię (większość wyzwań w tej pracy jest typu - przekonaj zespół X, żeby wziął na siebie jakiś ticket i wytłumacz technicznie dlaczego oni)","Tak. Ekwiwalent pełnego etatu","3","Jestem dość niepewna, bo w ostatnim roku były u mnie zwolnienia zarówno pracowników, jak i konsultantów. Sądzę, że AI to tylko wymówka, korekta rynku. Dużo ludzi w firmie nic nie robi, bo zatrudniono ich bez pomysłu na ich stanowisko i choć są kompetentni nie mają co robić. Czuję się kompetentna w swojej roli, ale są okresy, kiedy mój team też nie dostaje żadnych zadań albo wręcz zakazuje się nam wykonywać rzeczy z backlogu, bo są jakieś zewnętrzne dependencies i np. argument, że nie ma na to budżetu albo zasobów. Więc firma woli, żebyśmy siedzieli niewiele robiąc. Gdyby zdecydowano się na większe redukcje martwię się o szukanie pracy, co prawda mam techniczny background i mogę pracować na różnego typu stanowiskach, także typu engineer, ale dużo jest teraz rekrutacji widmo i problemów z nową pracą.","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Certyfikacja;Całkowita zmiana zawodu (zmiana branży);Otworzenie własnego biznesu (lub stworzenie produktu);Budowanie marki osobistej m.in. kanału YouTube ","Rozwój umiejętności związanych z samym AI, marka osobista, rozwój (m.in. doktorat) ","Juz wyżej pisałam ","Uważam, że duża część pracy w tych rolach to część miękka, której nie da się zastąpić. Natomiast pewnie w związku z AI będzie takich stanowisk trochę mniej."
"2026/03/10 9:49:15 AM EET","Scrum Master","10+ lat","50-150 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Jest za blokowane nie korzystam, o zystam prywatnie","Gemini ","4","3","1","Umiejętnie wdrożone i użyte ułatwiają życie ","Tak. Ekwiwalent pełnego etatu","4","Programy oszczędnościowe/cięcia kosztów ","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Inwestycja w narzędzia (w tym w AI)","Wdrażanie narzędzi AI w mojej oracy","Wdrażanie narzędzi AI do optymalizacji mojej pracy","Kto będzie dobrze używał narzędzi AI będzie cennym assetem w firmie, kto nie, może nie mieć pracy"
"2026/03/10 9:55:11 AM EET","Team Lead, Frontend Developer ","5-10 lat","500+","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","ChatGPT, GitHub Copilot ","3","4","4","","Tak. Ekwiwalent pełnego etatu","4","Nie wykorzystuję AI na poziomie, którego oczekują pracodawcy ","3","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Całkowita zmiana zawodu (zmiana branży);Otworzenie własnego biznesu (lub stworzenie produktu)","Praca z ludźmi, zmiana branży ","Wiedzę o AI, negocjacje, psychologia ","Więcej projektów , możliwość zrozumieć co jest najważniejsze "
"2026/03/10 10:17:01 AM EET","Delivery Lead","5-10 lat","150-500 osób","Oprogramowanie wspierające działanie firmy (głównym produktem jest coś innego)","Wielokrotnie w ciągu dnia","Github Copilot, ChatGPT","5","4","2","","Tak. Ekwiwalent pełnego etatu","2","Automatyzacja moich zadań, budowanie narzędzi w oparciu o AI, które przejmują rolę koordynatora/generatora pomysłów. ","5","Rozwój umiejętności i zdobywanie nowej wiedzy","Awansowanie na wyższe stanowiska, AI nie zastępuję odpowiedzialności.","Prowadzenia i zarządzania działami/firmami.","Zastąpienie przez samodzielne/Agile zespoły ze wsparciem narzędzi AI"
"2026/03/10 10:21:13 AM EET","Tester","1-3 lata","50-150 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Cursor AI","3","5","3","","Tak. Ekwiwalent pełnego etatu","4","Brak studiow technicznych powoduje że nie czuję się na 100% komfortowo ","1","Rozwój umiejętności i zdobywanie nowej wiedzy","Rozwój osobisty ","Obsługa narzędzi AI, ","Nie mam zdania "
"2026/03/10 10:39:13 AM EET","Portfolio Manager","0-12 miesięcy","150-500 osób","Główny produkt (sprzedajemy oprogramowanie / usługę / SaaS)","Wielokrotnie w ciągu dnia","Notebook LLM, Glean AI, Gemini","4","4","4","","Tak. Ekwiwalent pełnego etatu","3","zmiany na każdym poziomie organizacji i we wszystkich rolach","2","Rozwój umiejętności i zdobywanie nowej wiedzy;Zmiana roli (ale nadal w podobnym środowisku);Inwestycja w narzędzia (w tym w AI)","Rozwój umiejętności i zdobywanie nowej wiedzy","AI","są mocno zautomatyzowane dzięki AI, co daje więcej transparentości
ale cały flow dalej jest definiowany przez ludzi"
